method_internal_name,method_thesis_name,approach_group,seed,split,attack,epsilon,checkpoint_or_threshold_rule,threshold,source_file,source_type,result_status,TP,FN,FP,TN,Rfall,FAR,precision,F1,accuracy,macro_F1,AUROC,Rfall_at_FAR_005,Rfall_at_FAR_010,Rfall_at_FAR_015,Rfall_at_FAR_020,TP_at_FAR_020,FP_at_FAR_020,F20_reached,notes
optionB_AFAC,AFAC-lowFA,AFAC fixed-threshold checkpoints,42,test,clean,0,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_clean_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,41,4,15,440,0.911111,0.032967,0.732143,0.811881,0.962,,,,,,,,,true,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-lowFA,AFAC fixed-threshold checkpoints,42,test,fgsm,0.03,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_fgsm_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,17,28,23,432,0.377778,0.050549,0.425,0.4,0.898,,,,,,,,,false,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-lowFA,AFAC fixed-threshold checkpoints,42,test,pgd,0.03,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,6,39,36,419,0.133333,0.079121,0.142857,0.137931,0.85,,,,,,,,,false,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-recall,AFAC fixed-threshold checkpoints,42,test,clean,0,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_clean_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,42,3,25,430,0.933333,0.054945,0.626866,0.75,0.944,,,,,,,,,true,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-recall,AFAC fixed-threshold checkpoints,42,test,fgsm,0.03,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_fgsm_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,34,11,60,395,0.755556,0.131868,0.361702,0.489209,0.858,,,,,,,,,false,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-recall,AFAC fixed-threshold checkpoints,42,test,pgd,0.03,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxrec_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,30,15,85,370,0.666667,0.186813,0.26087,0.375,0.8,,,,,,,,,false,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-score,AFAC fixed-threshold checkpoints,42,test,clean,0,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_clean_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,43,2,21,434,0.955556,0.046154,0.671875,0.788991,0.954,,,,,,,,,true,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-score,AFAC fixed-threshold checkpoints,42,test,fgsm,0.03,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_fgsm_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,29,16,41,414,0.644444,0.09011,0.414286,0.504348,0.886,,,,,,,,,false,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-score,AFAC fixed-threshold checkpoints,42,test,pgd,0.03,fixed argmax via fall_pred_binary,,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_maxscore_pgd_probabilities_test_epsilon_0_03.csv,per_window_predictions_csv,derived_from_per_window_predictions,19,26,59,396,0.422222,0.12967,0.24359,0.308943,0.83,,,,,,,,,false,Derived using fall-positive class 1 from fall_true_binary/fall_pred_binary.
optionB_AFAC,AFAC-lowFA,AFAC threshold-swept operating point,42,test,clean,0,post-hoc fall-score threshold sweep via fall_probability,0.131096,results/safety_guided_defense/variantH_dual_tail_budget/adaptive_lagrangian_far_constrained/optionB/seed42/test_eval/optionB_minFA_clean_probabilities_test_epsilon_0_03.csv,per_window_score_csv,post_hoc_threshold_sweep_from_saved_scores,44,1,39,416,0.977778,0.085714,0.53012,0.6875,0.92,,0.987253,0.955556,0.977778,0.977778,0.977778,44,39,true,"Score column fall_probability; fall-positive class 1. FAR<=0.05: thr=0.2036, TP/FN/FP/TN=43/2/15/440 FAR<=0.10: thr=0.131096, TP/FN/FP/TN=44/1/39/416 FAR<=0.15: thr=0.131096, TP/FN/FP/TN=44/1/39/416 FAR<=0.20: thr=0.131096, TP/FN/FP/TN=44/1/39/416"
