evidence_item,figure_label,current_support_label,supported_by_current_outputs,current_evidence,claim_currently_supported,not_supported_yet,future_evidence_needed,recommended_claim_language
Software-level FGSM/PGD adversarial stress test,Software-level FGSM/PGD stress test,Directly supported now,Yes,FGSM and PGD prediction files are used across Tables/Figures 1-20.,Current outputs support software-level adversarial stress testing on processed CSI-derived tensors.,"This is not an over-the-air, packet-level, preamble-level, or SDR attack validation.","Physical-layer implementation, channel measurements, packet traces, SDR experiments, or controlled RF tests.",Software-level adversarial stress test
Defended vs undefended comparison,Defended vs undefended comparison,Directly supported now,Yes,"Defended clean, defended FGSM, and defended PGD outputs are compared against undefended conditions.",Current outputs support descriptive comparison of defended and undefended model behavior.,"This does not establish a certified, clinically safe, or deployment-ready defense.","Multiple defenses, hyperparameter sweeps, certified bounds, cross-dataset tests, and external validation.",Defended-vs-undefended descriptive comparison
Same-window paired clean/attack/defense transitions,Same-window safety-state transitions,Directly supported now,Yes,Table/Figure 15 and Table/Figure 20 track matched sample IDs across conditions.,"Current outputs support paired same-window transition analysis across clean, attack, and defended conditions.","This is not subject-level, room-level, or event-level temporal tracking.","Subject IDs, room IDs, trial IDs, and event timestamps.",Paired window-level transition analysis
Reproducible table/figure workflow,Reproducible table/figure workflow,Directly supported now,Yes,"The repository includes scripts, CSV result tables, PNG figures, companion notes, and README updates for the thesis artifacts.",Current outputs support a reproducible research-artifact workflow for this demo.,"This does not prove external reproducibility across independent datasets, subjects, rooms, or laboratories.","Independent reruns, cross-dataset replication, environment lock files, and external validation.",Reproducible table/figure workflow
Window-level fall-vs-non-fall safety proxy,Fall-vs-non-fall safety proxy,Window-level proxy only,"Yes, as a window-level proxy","Tables/Figures 1-20 evaluate TP, FN, FP, TN and derived safety-proxy metrics at the window level.",Current outputs support descriptive window-level fall-vs-non-fall safety-proxy analysis.,This does not prove clinical event-level fall detection or medical-device performance.,"Event-level fall annotations, clinical protocol, and prospective validation.",Window-level safety-proxy analysis
Missed-fall-rate / recall degradation proxy,Missed-fall-rate / recall degradation,Window-level proxy only,"Yes, as a window-level proxy","Tables/Figures 1-14 and Figure 20 quantify fall-window TP/FN behavior, recall loss, and missed-fall persistence.",Current outputs support descriptive window-level missed-fall-rate and recall-degradation proxy analysis.,"This does not prove event-level missed falls, long-lie outcomes, or clinical rescue delay.","Event-level fall IDs, timestamps, alert policy, and clinical/caregiving context.",Window-level missed-fall / recall-degradation proxy
False-alert trustworthiness / PPV composition,False-alert trustworthiness / PPV,Window-level proxy only,"Yes, as a window-level proxy",Table/Figure 16 separates predicted fall alerts into true fall alerts and false fall alerts.,Current outputs support window-level alert-composition and PPV/trustworthiness analysis.,This is not alarm burden per hour/day and not clinical alarm-fatigue validation.,"Continuous recordings, time duration per window, deployment logs, and clinician/caregiver alarm review.",Window-level alert-trustworthiness proxy
Class-normalized false-fall-alarm sources,Class-normalized false-alert sources,Window-level proxy only,"Yes, as a window-level proxy",Tables/Figures 17-18 identify non-fall activity classes that generate false fall alerts and defense changes.,Current outputs support class-normalized false-fall-alarm source analysis.,This does not establish real-home false alarm frequency or caregiver burden.,Long-duration home recordings and real deployment time denominators.,Window-level false-alert source analysis
Missed-fall destination classes,Missed-fall destination classes,Window-level proxy only,"Yes, as a window-level proxy",Table/Figure 19 shows which non-fall classes true fall windows are predicted as when missed.,Current outputs support missed-fall destination analysis at the window level.,This does not prove clinical severity of one destination class versus another.,"Clinical interpretation, event timing, activity context, and patient-risk metadata.",Window-level missed-fall destination analysis
Fall-window recovery and failure persistence,Fall-window recovery / persistence,Window-level proxy only,"Yes, as a window-level proxy",Table/Figure 20 tracks clean TP -> attack FN and attack FN -> defended TP/FN.,Current outputs support paired fall-window recovery and persistence analysis.,This does not prove recovery of real fall events or prevention of long-lie outcomes.,Event-level detection timing and clinical outcome mapping.,Window-level fall-recovery proxy
Event-level fall detection,Event-level fall detection,Future work needed,No,"Current outputs use sample/window IDs, not full fall-event IDs.",Current outputs do not support event-level fall detection claims.,One real fall event may contain multiple windows; current analysis should not count windows as separate events.,"Event IDs, start/end times, trial labels, and event-level aggregation rules.",Future event-level validation needed
Detection latency / time-to-alarm,Detection latency / time-to-alarm,Future work needed,No,Current prediction files do not include timestamps or event onset times.,Current outputs do not support detection-latency or time-to-alarm claims.,Cannot estimate delayed rescue or time-to-alert without temporal information.,"Timestamps, sampling rate, window duration, window stride, event onset time, and alert policy.",Future time-to-alarm analysis needed
False alarms per hour/day,False alarms per hour/day,Future work needed,No,Current outputs count false-positive windows but do not provide monitoring duration.,Current outputs do not support false alarms per hour/day.,Window count cannot be converted to real alarm burden without time denominators and alert aggregation.,"Continuous recording duration, window stride, alarm aggregation rule, and deployment context.",Future alarm-burden analysis needed
Long-lie / delayed-rescue risk,Long-lie / delayed-rescue risk,Future work needed,No,"Current outputs quantify missed windows, not duration after a fall event.",Current outputs do not support long-lie or delayed-rescue claims.,"Long-lie risk requires event timing, alert timing, and outcome assumptions.","Event-level timeline, alert policy, rescue threshold, and clinical/caregiving context.",Future long-lie proxy analysis needed
Subject-level generalization,Subject-level generalization,Future work needed,No,Current outputs do not report subject IDs or leave-subject-out evaluation.,Current outputs do not support subject-generalization claims.,Cannot infer robustness across people without subject-stratified evaluation.,"Subject IDs, subject-level splits, leave-one-subject-out or cross-subject experiments.",Future subject-level generalization needed
Room/environment-level generalization,Room/environment generalization,Future work needed,No,"Current outputs do not report room IDs, home IDs, or environment splits.",Current outputs do not support room/environment generalization claims.,Cannot infer transfer across homes or rooms without environment metadata.,"Room IDs, home IDs, device placement metadata, cross-room and cross-home testing.",Future room-level generalization needed
Physical-layer / over-the-air attack validation,Physical-layer / over-the-air validation,Future work needed,No,Current attacks are software perturbations on processed model inputs.,Current outputs do not support physical-layer or over-the-air attack claims.,"No SDR, packet-level, preamble-level, or RF-channel implementation was evaluated.","SDR or commodity-device testbed, packet traces, CSI capture, channel constraints, and over-the-air experiments.",Future physical-layer validation needed
Clinical / regulatory / medical-device validation,Clinical / regulatory validation,Future work needed,No,Current outputs are research/prototype metrics from a public dataset workflow.,"Current outputs do not support clinical, diagnostic, regulatory, or medical-device claims.","No clinical trial, patient deployment, regulatory protocol, or clinician adjudication was performed.","IRB/clinical protocol as appropriate, patient/caregiver context, prospective validation, and clinical outcome analysis.",Research prototype; not clinical validation
